,App - Migration,Dates - Migration,App - Validation,Dates - Validation,Prod/NonProd
0,ACL Suites,11/18/22,ACL Suites,11/18/22,Prod
1,ADMI,,ADMI,Net New,Prod
2,ADMI Screener,12/16/22,ADMI Screener,12/16/22,Prod
3,Altimeter,12/16/22,Altimeter,12/16/22,Prod
4,Apollo,10/27/22,Apollo,Test - 10/27/22 ,Non-Prod
5,Attunity Replicate,11/7/22,Attunity Replicate,12/9/22,Prod
6,Attunity Replicate,12/9/22,Attunity Replicate,Dev - 11/7/22 ,Non-Prod
7,Audiology Database,,Audiology Database,Net New,Prod
8,BreezeSuite Pulmonary,12/16/22,BreezeSuite Pulmonary,12/16/22,Prod
9,CPR+,10/28/22,CPR+,Test - 10/28/22 ,Non-Prod
10,Cascade Classic,11/11/22,Cascade Classic,11/11/22,Prod
11,ColdFusion Administrator,,ColdFusion Administrator,Net New,Prod
12,Communication Preferences,12/16/22,Communication Preferences,12/16/22,Prod
13,DBD Genes Database,12/16/22,DBD Genes Database,12/16/22,Prod
14,ECHO,12/9/22,ECHO,12/9/22,Prod
15,EIM Business Objects,12/9/22,EIM Business Objects,12/9/22,Prod
16,EIM Business Objects,11/7/22,EIM Business Objects,Test - 11/7/22 QA - 11/14/22 Dev - 10/28/22 ,Non-Prod
17,EIM Business Objects,11/14/22,EIM Business Objects,Test - 11/7/22 QA - 11/14/22 Dev - 10/28/22 ,Non-Prod
18,EIM Business Objects,10/28/22,EIM Business Objects,Test - 11/7/22 QA - 11/14/22 Dev - 10/28/22 ,Non-Prod
19,EssetteSuite,11/9/22,EssetteSuite,Test - 11/9/22 ,Non-Prod
20,Fluency for Imaging,11/18/22,Fluency for Imaging,11/18/22,Prod
21,GHP NPI,12/16/22,GHP NPI,12/16/22,Prod
22,GHP ODS,11/7/22,GHP ODS,Dev - 11/7/22 Test - 11/14/22 ,Non-Prod
23,GHP ODS,11/14/22,GHP ODS,Dev - 11/7/22 Test - 11/14/22 ,Non-Prod
24,GHP RightFax,,GHP RightFax,Net New,Non-Prod
25,GHS RightFax,,GHS RightFax,Net New,Non-Prod
26,Hosting Services Application,,Hosting Services Application,Net New,Prod
27,Hugs and Kisses,12/16/22,Hugs and Kisses,12/16/22,Prod
28,IV Therapy,,IV Therapy,Net New,Prod
29,IntelliBridge Enterprise,10/26/22,IntelliBridge Enterprise,10/26/22,Non-Prod
30,Interview Evaluation,,Interview Evaluation,Net New,Prod
31,Issue Resolution Process,,Issue Resolution Process,Net New,Prod
32,List and Campaign Management,12/16/22,List and Campaign Management,12/16/22,Prod
33,Litespeed,12/9/22,Litespeed,12/9/22,Prod
34,Live Capture,12/9/22,Live Capture,12/9/22,Prod
35,LoadRunner,11/11/22,LoadRunner,11/11/22,Prod
36,LogicStream Health Drug Shortage Solution,12/16/22,LogicStream Health Drug Shortage Solution,12/16/22,Prod
37,MUSE,11/9/22,MUSE,Test - 11/9/22 ,Non-Prod
38,Maestro,12/16/22,Maestro,12/16/22,Prod
39,Master Provider Data Repository,10/28/22,Master Provider Data Repository,Dev - 10/28/22 Test - 11/9/22 ,Non-Prod
40,Master Provider Data Repository,11/9/22,Master Provider Data Repository,Dev - 10/28/22 Test - 11/9/22 ,Prod
41,MedInsight,11/18/22,MedInsight,11/18/22,Prod
42,Medi-Dose Prepack (Milt 4.0),,Medi-Dose Prepack (Milt 4.0),Net New,Prod
